,Brand,ModelName,ModelID,Color,Transmission,mileage,Price,bodyTypeName,FuelType,SellerState,MSRP,DaysOnMarket,OwnerCount,AccidentCount,Alloy Wheels,Backup Camera,Bluetooth,Heated Seats,Navigation System,Leather Seats,Blind Spot Monitoring,Sunroof/Moonroof,Remote Start,CarPlay,Android Auto,Parking Sensors,Adaptive Cruise Control,YearOld,id
74,Mercedes-Benz,C-Class,d66,BLUE,Automatic,39930.0,32495.0,Sedan,Gasoline,MO,,237,1.0,0.0,1,1,1,0,0,1,1,1,0,1,1,0,0,3,74
75,GMC,Sierra 1500,d116,RED,Automatic,58086.0,40750.0,Pickup Truck,Gasoline,IL,40750.0,78,3.0,0.0,1,1,1,1,1,1,1,0,1,1,1,1,0,4,75
76,Cadillac,XT5,d2393,WHITE,Automatic,77501.0,30777.0,SUV / Crossover,Gasoline,IL,30777.0,69,1.0,0.0,1,1,1,1,1,1,1,1,1,0,0,1,0,5,76
77,Honda,Odyssey,d592,GRAY,Automatic,126522.0,29995.0,Minivan,Gasoline,MO,,128,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,77
78,Ford,F-150,d337,WHITE,Automatic,18192.0,27999.0,Pickup Truck,Gasoline,IL,36235.0,88,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,78
79,Hyundai,Palisade,d2836,SILVER,Automatic,36105.0,40376.0,SUV / Crossover,Gasoline,MO,,313,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,2,79
80,Honda,Ridgeline,d734,WHITE,Automatic,30600.0,34795.0,Pickup Truck,Gasoline,MO,,274,1.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,3,80
81,Honda,Accord,d585,UNKNOWN,CVT,26092.0,29585.0,Sedan,Gasoline,MO,,93,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,81
82,Ford,F-150,d337,SILVER,Automatic,32912.0,40999.0,Pickup Truck,Gasoline,MO,,44,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,82
83,Volvo,V60,d2266,WHITE,Automatic,56464.0,19988.0,Wagon,Gasoline,MO,,180,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,1,1,5,83
